,equal_weight_benchmark_[2023-07],60_40_benchmark_[2023-07],gmm_60_[2023-07],gmm_252_[2023-07],historical_60_[2023-07],historical_252_[2023-07]
start,2008-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00,2008-01-01 05:00:00+00:00
end,2023-07-31 20:00:00+00:00,2023-07-31 20:00:00+00:00,2023-07-31 20:00:00+00:00,2023-07-31 20:00:00+00:00,2023-07-31 20:00:00+00:00,2023-07-31 20:00:00+00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0
total_return,1.8235185597,1.9429324659000002,2.7365075952,2.2527295682,1.4845560734999999,1.2776034961999998
cagr,0.06889970379344201,0.07174567708159896,0.08829711922899697,0.07865360089507445,0.06016054844726537,0.05425842354617427
max_drawdown,-0.39015147094731206,-0.3423334068999999,-0.3534064631340227,-0.34275462585579775,-0.23364119418108487,-0.23644815090576365
calmar,0.1765973190518781,0.20957836902711868,0.24984579638406884,0.2294749507718249,0.25749118710905755,0.22947281819851892
daily_sharpe,0.5173525154840932,0.6050147240767211,0.6458338180211604,0.5840440922163402,0.6624322740875179,0.6030298957035835
daily_sortino,0.8097475528594915,0.9275872591634717,1.0199692082856235,0.9137833036281635,1.046503433621711,0.9449671044709673
daily_mean,0.06395796023051505,0.06420138234240551,0.07899955140061429,0.07149404352986331,0.05251289572899731,0.04779526097328678
daily_vol,0.12362549386788771,0.10611540477858554,0.12232179423906528,0.12241206525787553,0.07927285215886012,0.07925852650725018
daily_skew,-0.24948966864766894,-0.6989651743718183,-0.3155759401214545,-0.4434806873914566,-0.2932845146570208,-0.4317888484823754
daily_kurt,11.571434798937265,14.82750887417578,11.443400419943753,16.009730467528733,11.389395951541339,15.305628915303437
best_day,0.0739167134069958,0.0525488782436867,0.0643747223003901,0.06734642058399243,0.04292778733448177,0.04316262176095598
worst_day,-0.07143132256890516,-0.07944557523549112,-0.08019490046541167,-0.09046866003977427,-0.05081673280239318,-0.05779958486470671
monthly_sharpe,0.6477333652341206,0.7722766253118453,0.7451936956930155,0.6798086596653119,0.7504202047988108,0.6918004864023853
monthly_sortino,1.0671752186832335,1.2624471595256868,1.2277917777261218,1.0967534636429237,1.234025805547464,1.1144527197345904
monthly_mean,0.07705857812227276,0.07753353020949591,0.09538782653374722,0.08631282824046393,0.06334174258008482,0.05767743662965229
monthly_vol,0.11896651038567428,0.1003960597385527,0.12800407073363443,0.12696635591985256,0.08440836504004695,0.08337293448519524
monthly_skew,-0.6971021436930135,-0.757309147824979,-0.7333807879409301,-0.8649803112222342,-0.7184860910011732,-0.8856298125686124
monthly_kurt,2.5384878216258144,1.530867575097468,2.1513732130440086,2.590451731126606,2.48607529239277,2.834470802572774
best_month,0.10560279528326366,0.08307964873569129,0.10621640429357804,0.09726555660565328,0.07524133956511325,0.06698923243432553
worst_month,-0.15530685881962603,-0.1083273250351966,-0.15082547307712746,-0.16178886939652104,-0.10011000641963996,-0.10824422643013532
yearly_sharpe,0.8446648952355149,0.9860823259434804,0.8655193450517874,0.8095562779466638,0.8572517668234947,0.8022992007979289
yearly_sortino,2.0386257293886176,2.3436466165116503,1.8167902901342032,1.6480570067589053,1.7534521191912646,1.5949172374649203
yearly_mean,0.09797514231541143,0.09720328777767516,0.11419946414798397,0.10327136848688939,0.07316484263769477,0.06761505170017353
yearly_vol,0.11599291372005388,0.09857522563815486,0.1319432833025251,0.12756539761364588,0.08534813863236886,0.08427660358246249
yearly_skew,-0.9048906671105382,-1.3415420250236163,-1.5525200536819967,-1.4604168088621403,-1.6428408377366204,-1.5705538076409102
yearly_kurt,1.418285461179435,2.209607265226883,2.9354512332170515,3.0795557241545497,3.2322256215517084,3.307869697446982
best_year,0.2830143433048309,0.22356738662260023,0.2650440337509248,0.2714309148413676,0.1639663329069565,0.1717367797938698
worst_year,-0.18391237460048238,-0.16035276621466954,-0.24430069408509825,-0.24329357337933,-0.16224758225254332,-0.16457292372666432
avg_drawdown,-0.015426617891408588,-0.010370536921766853,-0.015887047874007944,-0.01605351877107865,-0.010466910290522838,-0.010776150350093348
avg_drawdown_days,23.131818181818183,18.384328358208954,20.830578512396695,23.25229357798165,20.217741935483872,22.42222222222222
avg_up_month,0.025556374386802107,0.02149575044990168,0.028910306879352192,0.027652882705879435,0.018384270408592134,0.01788174943665233
avg_down_month,-0.02756418792737647,-0.02671872998862462,-0.028425072066036415,-0.029146928421977046,-0.019704437185264462,-0.019533714062697258
win_year_perc,0.8,0.8666666666666667,0.8,0.8,0.8,0.8
twelve_month_win_perc,0.8238636363636364,0.8522727272727273,0.8181818181818182,0.8295454545454546,0.8238636363636364,0.8295454545454546
common_sense_ratio,1.05,1.0,1.03,1.04,1.02,1.05
avg_worst_5_drawdown_duration,338.25,294.0,303.5,330.0,277.75,292.0
avg_worst_5_drawdowns,-0.22890380513871342,-0.20505948567667504,-0.24275859429410127,-0.24515093139039906,-0.16277087314048608,-0.1647627324006817
