date,SPY,QQQ,DIA,TLT,GLD,EFA,EEM,BND,VNQ
2007-07-10 00:00:00+00:00,110.3984659348,42.3618328331,93.1078821631,53.455281974,65.61,50.1759502623,32.8352561836,45.3912862804,36.5523129856
2007-07-11 00:00:00+00:00,111.1811795109,42.6501868932,93.7147177156,52.9031616907,65.44,50.6488447752,33.1087233962,45.2810091644,36.4807219977
2007-07-12 00:00:00+00:00,112.9367828727,43.3055370299,95.3973072022,52.721212961,66.02,51.3551158009,33.835570461,45.2197440999,36.9511770613
2007-07-13 00:00:00+00:00,113.2732794788,43.6026290918,95.7903711396,52.865517126,66.03,51.3182668779,34.2433724446,45.2932621773,37.304018359
2007-07-16 00:00:00+00:00,113.2586464882,43.5589390827,96.16964336,53.3737187504,65.82,51.2015786214,33.9003390113,45.4157923062,36.9920861972
2007-07-17 00:00:00+00:00,113.2001247669,43.890983152,96.4041025507,53.2607850561,65.75,51.0296169804,33.8931425057,45.3606537482,36.8591315054
2007-07-18 00:00:00+00:00,112.9953045941,43.838555141,96.0799971988,53.4615560682,66.62,50.8515138522,33.4781440166,45.4341718256,36.7773132334
2007-07-19 00:00:00+00:00,113.4342109208,43.9696251684,96.4661652777,53.4490078799,67.01,51.1401637496,33.799587933,45.4157923062,36.9153815673
2007-07-20 00:00:00+00:00,112.28574573,43.7336991192,95.7318597798,53.9321131278,67.58,50.6119958521,33.5788950949,45.5444489417,36.2710626758
2007-07-23 00:00:00+00:00,112.6295529793,43.7511751228,96.1948332608,53.84427581,67.47,50.9190702111,34.5504233499,45.5321959288,35.6420847104
2007-07-24 00:00:00+00:00,110.6764408196,43.104562988,94.8542831816,54.0450468221,67.47,50.1513843136,33.3677975975,45.5505754481,34.921061189
2007-07-25 00:00:00+00:00,110.9032053577,43.1657290007,95.0132143765,54.1517064223,66.9,50.0162715956,33.5597044133,45.5934609933,34.5426516813
2007-07-26 00:00:00+00:00,108.2771109583,42.7987329242,93.0853098812,54.6034411995,65.65,48.3519285698,31.8493349175,45.7711296803,33.9085600738
2007-07-27 00:00:00+00:00,106.1484343659,41.9336707438,91.288696373,54.7477453645,65.41,47.6579405184,31.5686711993,45.7343706416,32.7835588347
2007-07-30 00:00:00+00:00,107.8089496229,42.4229988459,92.2768338025,54.6034411995,65.77,48.530031698,32.4658355632,45.6914850964,33.4176504422
2007-07-31 00:00:00+00:00,106.5946513359,41.53172266,91.3301566847,54.9987091296,65.79,48.4686168262,31.8013582135,45.7833826932,33.2846957503
2007-08-01 00:00:00+00:00,107.1140127768,41.8550287274,92.1870031271,54.8798238296,65.93,48.5484561596,31.6766187832,45.761085273,33.724468962
2007-08-02 00:00:00+00:00,107.9698810649,42.2395008076,93.1336802449,55.0183933378,65.89,48.6958518519,32.0268487221,45.8410549071,34.2818559395
2007-08-03 00:00:00+00:00,105.1901665982,41.43560464,91.3439767886,55.3837129501,66.69,47.8176191851,30.6451196483,45.9948426651,32.9574226626
2007-08-06 00:00:00+00:00,106.9530923074,41.9161947402,92.7328972315,54.9806016537,66.52,48.3396455954,31.1920540733,45.8656609484,34.1079921116
2007-08-07 00:00:00+00:00,108.0942351509,42.2132868021,93.3202516476,54.9365113557,66.48,48.5054657493,31.4247410875,45.8595094381,34.2971968655
2007-08-08 00:00:00+00:00,109.6011303407,42.6764008987,94.3567594408,54.2688582711,66.77,49.2915761084,32.4802285744,45.742630742,35.6523119944
2007-08-09 00:00:00+00:00,106.3532538071,41.6890066928,91.7585799059,54.3444416392,65.46,47.8851755441,31.1368808638,45.8472064174,35.2585615607
2007-08-10 00:00:00+00:00,105.8558374631,41.3132726145,91.1712254897,54.2184693591,66.57,47.062216262,30.5971429444,45.7607776974,34.1949240256
2007-08-13 00:00:00+00:00,106.2362110959,41.5928886728,91.3370667367,54.3759347092,66.26,47.1543385697,30.8993961792,45.8029155431,34.0312874817
2007-08-14 00:00:00+00:00,104.6122731949,40.8851105252,90.1692679563,54.5208028313,66.29,46.6998685183,30.1005840585,45.914873031,33.0545818605
2007-08-15 00:00:00+00:00,103.1712103697,40.107428363,89.0360194358,54.3255457972,66.13,45.6066838003,28.9179583061,45.9210245413,32.497194883
2007-08-16 00:00:00+00:00,103.9466133026,39.7928602974,89.2433209944,54.8861224436,64.68,45.4101562105,28.4261970906,45.914873031,33.8011735919
2007-08-17 00:00:00+00:00,105.8558374631,40.4656864377,90.4077683995,54.6404764974,65.11,45.8769092362,29.4816845775,46.0563577683,34.5682198913
2007-08-20 00:00:00+00:00,105.804626385,40.6579224778,90.6916993459,54.6971640235,65.12,45.9751730311,29.3857311696,45.9579336032,35.2023114987
2007-08-21 00:00:00+00:00,106.0167579325,41.0860845671,90.497795285,54.9617058117,65.07,45.9444655952,29.2777835857,46.1178728715,35.3659480426
2007-08-22 00:00:00+00:00,107.2749442188,41.6453166837,91.6127436352,54.8735252156,65.4,47.0315088261,30.5371720644,46.1178728715,35.7954939702
2007-08-23 00:00:00+00:00,107.179856114,41.53172266,91.5296418948,55.0624836358,65.31,47.2403193902,30.6930963523,46.1178728715,35.1818569308
2007-08-24 00:00:00+00:00,108.5038754964,42.1171687821,92.5476382146,55.333324038,66.11,48.0632786723,31.4247410875,46.1609334438,35.3710616846
2007-08-27 00:00:00+00:00,107.4943973822,41.8375527238,92.1875306729,55.6230602823,65.98,47.5535352364,31.5686711993,46.3270242224,34.6040153852
2007-08-28 00:00:00+00:00,105.1316448769,40.8414205161,90.3662175293,55.7175394924,65.59,46.5954632363,30.2852943687,46.4562059392,33.5454914921
2007-08-29 00:00:00+00:00,107.194478132,42.0123127602,91.9243751617,55.5663727562,66.07,47.6640820056,31.4847119674,46.3516302637,34.7727655711
2007-08-30 00:00:00+00:00,106.909192604,42.2307628058,91.8066476961,55.9379909826,65.8,47.3324416979,31.3239900092,46.4315998979,34.9517430409
2007-08-31 00:00:00+00:00,107.9625587175,42.7026149042,92.3814347338,55.9820812806,66.52,48.1615424672,32.1323974708,46.4623574495,35.5295845865
2007-09-04 00:00:00+00:00,109.0525029185,43.4103930518,93.0323983669,56.0084012989,67.44,48.6037295442,32.6745342254,46.4341361656,36.0000396501
2007-09-05 00:00:00+00:00,108.1088571689,42.9734929607,92.2567821232,56.4574298098,67.56,47.8974585185,32.1803741747,46.6132277933,35.1358341528
2007-09-06 00:00:00+00:00,108.357577045,42.9385409534,92.4714616192,56.3119698697,68.86,48.0755616467,32.4322518705,46.5267697661,35.4477663145
2007-09-07 00:00:00+00:00,106.8506818552,42.1433827876,91.0795074677,57.1088373678,69.39,47.4921203646,31.7006071352,46.8170217145,34.5937881012
2007-09-10 00:00:00+00:00,106.6458507099,42.1171687821,91.0171811624,57.5515415335,69.62,47.2955927748,31.7245954872,46.9528843286,34.2358331615
2007-09-11 00:00:00+00:00,107.8894149781,42.7550429151,92.1598300928,57.5072711169,70.52,48.1124105698,32.3650844849,46.841724008,34.946629399
2007-09-12 00:00:00+00:00,108.1673788903,42.7637809169,92.2775575583,57.2922433793,70.46,48.1615424672,32.4802285744,46.7676171275,34.7420837191
2007-09-13 00:00:00+00:00,108.9281488325,42.9734929607,93.0046977867,56.7799714162,70.08,48.3642115442,32.840053854,46.6502812335,35.5244709445
2007-09-14 00:00:00+00:00,108.9208264852,43.0084449679,93.1155001072,56.9380800468,69.99,48.0817031339,32.9048224044,46.6564568069,35.7545848343
2007-09-17 00:00:00+00:00,108.3356326796,42.6501868932,92.8384943059,57.1341347487,70.97,47.4061395441,32.6961237422,46.6935102471,35.4937890925
2007-09-18 00:00:00+00:00,111.5249874918,43.742437121,95.1168670216,56.7040792735,71.7,48.9476528263,34.2793549725,46.8231972879,36.7568586654
2007-09-19 00:00:00+00:00,112.1833360093,43.838555141,95.6778037693,56.17915862,71.43,49.3898399033,34.4352792604,46.7490904074,37.4472003349
2007-09-20 00:00:00+00:00,111.3933110585,43.7162231155,95.3592470978,55.1166686224,72.72,49.346849493,34.3273316765,46.4156094455,36.4756083557
2007-09-21 00:00:00+00:00,111.6922925214,44.0272959804,95.6616612562,55.584670169,72.34,49.5618015443,34.783110364,46.6132277933,36.7364040975
2007-09-24 00:00:00+00:00,111.4865036815,44.2283737817,95.4188651617,55.7427787996,72.28,49.6723483136,35.2149006996,46.5823499264,37.4257230385
2007-09-25 00:00:00+00:00,111.2660126463,44.6480144106,95.5367946933,55.5467240976,72.33,49.7337631854,35.0829647637,46.6132277933,36.4958914102
2007-09-26 00:00:00+00:00,111.8539850653,44.8665772382,96.0986942264,55.5973188594,72.0,49.9794226726,35.5507376272,46.62557894,37.0279617308
2007-09-27 00:00:00+00:00,112.5154471463,45.0938825788,96.5149161028,55.983103918,72.7,50.642703288,36.0784813707,46.7243881139,37.3120769506
2007-09-28 00:00:00+00:00,112.1406205446,44.9452598561,96.3623014148,56.1095908225,73.51,50.7225426214,35.8505920269,46.7429148341,36.9143156429
2007-10-01 00:00:00+00:00,113.4047572398,45.4610681291,97.5346596999,56.4288178396,73.9,51.3735402625,36.9780445698,46.7136734942,37.8131528836
2007-10-02 00:00:00+00:00,113.2504099139,45.4698106422,97.2016821988,56.6065863926,72.35,51.2445690317,37.2299222655,46.8810393626,38.5001951423
2007-10-03 00:00:00+00:00,113.0225736608,45.1550801705,96.8478936039,56.4415155934,71.9,51.0111925188,36.1024697227,46.8562444191,38.3142288166
2007-10-04 00:00:00+00:00,113.1989683998,45.2599903277,96.7785232912,56.6573774078,72.87,51.1892956471,36.4622950023,46.905834306,38.706824393
2007-10-05 00:00:00+00:00,114.5439517344,46.1762057008,97.5901559501,56.0478852259,73.4,51.7113220574,37.6785044474,46.7074747583,39.6159930962
2007-10-08 00:00:00+00:00,113.9339311674,46.4664571358,97.2988006367,56.0034430876,72.53,51.2322860573,37.2778989694,46.8438469474,38.8669620623
2007-10-09 00:00:00+00:00,115.0069709283,46.6676223623,98.2075517334,55.9336054418,73.09,51.8034443651,37.8584170872,46.6888785507,39.3008834889
2007-10-10 00:00:00+00:00,114.8158842836,46.7811876074,97.6248411065,55.9653498263,73.36,51.7051805702,37.9087926264,46.7384684376,39.0270997316
